BUSINESS_UNIT,JOURNAL_ID,JOURNAL_DATE,FISCAL_YEAR,ACCOUNTING_PERIOD,PROJECT_ID,ACTIVITY_ID,AWARD_ID,FUND_CODE,DEPTID,PROGRAM_CODE,ACCOUNT,ACCOUNT_DESCR,TRANSACTION_SOURCE,SOURCE_DOCUMENT_ID,VENDOR_EMPLOYEE_ID,VENDOR_EMPLOYEE_NAME,TRANSACTION_DESCR,AMOUNT
UNIV1,JR250700053,7/1/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,514000,Temporary Wages,PAY,PAY2507000597,E100128,Logan Kim,Temporary field staff wages,323.27
UNIV1,JR250700066,7/1/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,521000,Fringe Benefits,PAY,PAY2507000745,E100136,Skyler Harris,Employer fringe benefit allocation,382.09
UNIV1,JR250700068,7/1/25,2026,1,PRJ-250417-03,RESEARCH,AWD-FED-25-00417,52010,D13040,RDSCI,513000,Graduate Assistant Salaries,PAY,PAY2507000766,E100161,Logan Turner,Graduate assistant payroll,1595.76
UNIV1,JR250700133,7/1/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D12010,RDSCI,512000,Research Staff Salaries,PAY,PAY2507001497,E100050,Casey Adams,Laboratory technician payroll,1408.02
UNIV1,JR250700263,7/1/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12020,RDSCI,512000,Research Staff Salaries,PAY,PAY2507003000,E100112,Reese Adams,Research scientist payroll,4978.85
UNIV1,JR250700338,7/1/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,513000,Graduate Assistant Salaries,PAY,PAY2507003848,E100107,Quinn Harris,Graduate assistant payroll,1838.6
UNIV1,JR250700340,7/1/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D14030,RDSCI,521000,Fringe Benefits,PAY,PAY2507003869,E100000,Hayden Patel,Employer fringe benefit allocation,1383.23
UNIV1,JR250700398,7/1/25,2026,1,PRJ-250417-04,CORE,AWD-FED-25-00417,52010,D12010,RDSCI,511000,Faculty Salaries,PAY,PAY2507004537,E100165,Emerson Martinez,Faculty salary allocation,9507.01
UNIV1,JR250700400,7/1/25,2026,1,PRJ-250417-02,RESEARCH,AWD-FED-25-00417,52010,D14030,RDSCI,511000,Faculty Salaries,PAY,PAY2507004568,E100058,Taylor Owens,Summer research salary,4687.05
UNIV1,JR250700436,7/1/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12020,RDSCI,511000,Faculty Salaries,PAY,PAY2507004984,E100046,Rowan Bennett,Faculty effort charge,6322.37
UNIV1,JR250700450,7/1/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D12010,RDSCI,531100,Laboratory Supplies,AP,VCH2507001985,V200008,University Core Imaging Center,Field sampling consumables,89.6
UNIV1,JR250700531,7/1/25,2026,1,PRJ-250417-01,RESEARCH,AWD-FED-25-00417,52010,D90015,RDSCI,521000,Fringe Benefits,PAY,PAY2507006058,E100124,Skyler Foster,Payroll fringe charge,1230.62
